time="2022-08-03T08:20:15Z" level=info msg="Logger Configuration." fields.level=debug path=./log
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-15-15-b416c27f8fee9dcd9229466fb1910222f20da5dafa81b4f486f0ba377ae15fa0.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-15-16-dba3a763d931cbd8bb0b71edb7994b531519c68ddb5600b40922d67127135700.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-15-40-27f742f55e64674650b6eb6a2995a7dc7bae645232d583f30e222d67e79e79ac.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-15-46-e32ac3081382f6978db15542b24884edd81d208e06919ecec39ce256697cc330.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-15-54-6b0f037603612e2b8685a33002a10295aa2eebaf3648c52ccd6f8a255d28891d.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-16-03-f6dbdbd17f7d9fbc97bc4a1595ba0ed242e415dcea5fe3ffe51bff846a15a65e.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-16-09-c51cbbca7475988805fc7689487204fe86f246a36e1633aa2b6f07e5bcfec037.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-16-18-5d3c86fdaa7e0fcf15c72e5387d00d03391a359d733101ba2278a9c66efa9138.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-16-34-6c54408bed814ffb1de0ec61c4680fc32ca5b8eca5110517a6dafe536440cc44.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-16-58-03ca3fd8665a898064595537fbb093cc4f1aacd320025da4af990c409e9f3331.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-17-22-e9f53b2a0524a924d6986da299093fd281ec6ea3f9c7631fbe61c9f5395061fc.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-17-40-9ac5add51acbdf6bab1da47d08d85a83213fc6fd07c5d219ed3ceba136a7b53c.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-18-02-043b8c2250bd6033f5ba1517c7bfca1e0bfc1f90c6cafd5f0db53c9a3e0fed1f.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-18-18-c57429d35f87410ca8e56402e2e9133e8520d00eed163d56dea96185eb31b6ae.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-18-23-c10e238cadfac47107ad74c04a7b06878913939e060c47992208f67d4e9afe26.plot
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-18-34-436f82c075d3d6e14b49968066b467aecb9ce64007d259f658a3a402a09c0dd4.plot
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-18-43-d2bbf95ca2e35d7234a155f065b7cc940228a895ec0a8bc8ba4844a32ab5980e.plot
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-18-47-6b24d15574387a63af2756fc0d0eadbe36c2bae7313c1d83db8538d931e5c7aa.plot
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-18-59-0c2436e38f6dfb71aa5c1486c669ebcf2e1d34ddb63ea20ca2d44b329ee7a7c9.plot
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-19-34-26a8f74049004d7418c16e6016f4634fc7c2ba4485cfbc82204f568a496d2b53.plot
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-19-59-6116730d0438c9d76a675cbc9c49924aa7914f05c67fd08afdd9ac9150011bd5.plot
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-20-02-eb063520640978a2307863c19d39d9fd1e4d097463e0e5897fc444957a5547cb.plot
time="2022-08-03T08:20:20Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-20-23-98d57e5aa90ab78e0b04c60838711c35294174716be91ab50418a61db6182da5.plot
